date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,a2c_mean,a2c_sd
2020-09-04,1098612.513865682,1103617.9298378006,1133220.601377267,1118077.7429955895,1117796.4614068903,1114265.0498966458,12203.96228774885
2020-09-08,1092745.152048434,1097946.6678899494,1127442.5134804046,1112554.983852493,1112190.604328091,1108575.9843198746,12234.716636060459
2020-09-09,1087076.069317025,1092193.4321766384,1122939.5639944484,1106959.8779135204,1106142.653939029,1103062.3194681325,12597.437652917779
2020-09-10,1092101.02758486,1097055.0843364552,1128406.94773299,1112322.350886889,1112188.7912804694,1108414.8403643325,12840.40688964176
2020-09-11,1088534.1694379689,1094277.7678076192,1125136.4257584545,1108144.8796030788,1108483.480331791,1104915.3445877824,12755.818686829498
2020-09-14,1088980.3515350337,1094742.6995885628,1125737.4301211576,1108669.605864755,1108988.5983631331,1105423.7370945285,12809.055509131782
2020-09-15,1094010.63955572,1100118.494361169,1131338.5790380896,1114972.0849556513,1114937.1383889213,1111075.3872599103,13053.378351644023
2020-09-16,1094558.515028733,1100791.166317291,1131809.1221591444,1115214.3101695827,1115167.7731139725,1111508.177357745,12972.292010714069
2020-09-17,1094471.752644,1099994.0315769017,1131734.7451894484,1114858.796354944,1114934.5446826736,1111198.7740895934,13072.240474670907
2020-09-18,1092828.793941187,1097505.9997293889,1130067.1791535844,1112701.6311156608,1113682.116920638,1109357.1441720917,13209.333950531174
2020-09-21,1090220.6890872077,1093780.2434111296,1127154.2682532398,1109858.1359232569,1109602.8822610378,1106123.2437871743,13218.185938605038
2020-09-22,1083474.14427205,1087793.1626080363,1120933.8978596393,1103403.6256337145,1102925.1364168006,1099705.9933580481,13266.859140252342
2020-09-23,1084242.8323148196,1088767.0708977676,1121377.5463451378,1103970.1080550018,1103419.887138886,1100355.4889503226,13101.84751441787
2020-09-24,1074432.5993444782,1078435.5538371925,1109409.1129117229,1093186.602980733,1092359.7270285888,1089564.719220543,12390.072200463284
2020-09-25,1076266.2213060562,1080593.1024240286,1111458.9038340242,1095291.7535397864,1094502.461000213,1091622.4884208217,12431.439338891681
2020-09-28,1078506.4171165545,1082229.5869108066,1114243.3188790951,1097572.2375537648,1096390.560781524,1093788.424248349,12701.47656451357
2020-09-29,1084171.5504384537,1087311.924503132,1120381.418682445,1102790.3263425014,1102703.8796171104,1099471.8199167284,12966.351205527468
2020-09-30,1084385.1463945168,1088385.1601286838,1120743.4867654098,1103182.860741716,1102933.587372539,1099926.0482805732,12866.464896257778
2020-10-01,1082818.425557532,1086683.8965988676,1118937.2472746023,1101241.411276522,1100770.8717566757,1098090.37049284,12767.508491485585
2020-10-02,1085599.7870816002,1090122.4169482891,1122620.0523226063,1104565.316039188,1104260.7302132086,1101433.6605209783,13002.450277978362
2020-10-05,1082540.0855842135,1087143.4917181442,1119693.9696276186,1101629.2948464355,1100433.4223169873,1098288.0528186797,13009.0698910023
