date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-04-01,1016471.2030615952,995720.6909572792,993406.991470822,996603.6822023578,1002696.9272731876,1000979.8989930485,8331.724416491312
2019-04-02,1010387.3346450314,991514.299788586,987755.5796423744,991484.3815162368,997589.674183573,995746.2539551603,7970.98877972481
2019-04-03,1011700.7643606778,992783.678481366,989169.9122035285,993279.8290552092,999396.1776028988,997266.0723407362,7930.0375957204515
2019-04-04,1008033.6566014152,991080.650473896,986518.4208042418,990169.5786773292,996271.292042194,994414.7197198153,7488.806037607043
2019-04-05,1009215.1014416664,992779.7791446964,987954.2884667034,992092.8371239968,997277.1245526392,995863.8261459405,7301.321179312838
2019-04-08,1009283.002744868,992953.2524251604,988180.4121121909,992602.553388455,997182.1890466856,996040.2819434719,7208.313099272084
2019-04-09,1009634.0720107768,993960.8073851306,989364.2387351266,992640.5407038686,997743.8126761668,996668.694302214,7016.7035385975705
2019-04-10,1009112.78703567,996261.7227727828,989754.3016237572,994149.7539741908,998494.3167417248,997554.576429625,6458.853115623109
2019-04-11,1010715.3793497052,998532.7496768408,991676.57140115,996039.878149903,999999.5159943406,999392.818914388,6325.991822746931
2019-04-12,1003569.1669954768,991575.7834694368,985678.7169092512,988717.617031754,993544.0161634544,992617.0601138746,6086.680745529292
2019-04-15,1000424.6804956904,990686.0594839196,985707.495669296,986576.7950114942,994203.1553528644,991519.6372026529,5392.746900365839
2019-04-16,1001058.5642421274,990195.07071795,984746.1144443034,985265.0388010356,993393.005007107,990931.5586425045,5992.103839661692
2019-04-17,997301.6832149996,985784.6100300812,981522.0730257216,981919.8178837036,989419.7023834476,987189.5773075906,5815.376960406669
2019-04-18,995823.6160173216,984553.1497493364,979649.8370031988,980548.2748081492,988299.8573099975,985774.9469776008,5893.704849904179
2019-04-22,997811.7713044652,986006.82134225,980505.3436403848,982369.6265573016,989813.834685368,987301.479505954,6147.60015304563
2019-04-23,995782.3165672716,985452.9216004774,979556.7218934213,981330.0735326104,987989.0825935986,986022.2232374757,5714.386027734225
2019-04-24,997414.0451864084,986417.6518635668,981723.5073308063,982083.913080668,989237.3405379148,987375.2915998729,5746.341892734318
2019-04-25,998271.705905346,987942.8568333276,982125.719143326,983951.8347905125,989921.215257732,988442.6663860489,5641.22903477004
2019-04-26,998058.6023921932,988738.4985258944,982967.2947313956,983850.610780348,990340.8765757768,988791.1766011216,5415.095870730176
2019-04-29,1000068.9559222936,992586.2663961364,986272.6539043433,985854.9773622812,992557.887531696,991468.1482233502,5194.467468702839
2019-04-30,997626.9468342644,989438.0460009456,984122.0958040148,981898.0361537916,989918.858888914,988600.796736386,5457.021554429982
2019-05-01,999648.7581484024,991682.593356413,985952.2290587638,983673.8842385032,990732.4605383336,990337.9850680832,5519.042912298508
2019-05-02,998863.1570123456,987483.3882461184,981943.8635380296,980417.5437244944,986976.3614740388,987136.8627990054,6477.164606341446
2019-05-03,995854.6023222654,984843.5381257834,979725.0123458898,977739.472084747,984823.9957796258,984597.3241316623,6286.618653341027
2019-05-06,999685.2682375138,988147.6123633652,985135.3599141416,981942.558326307,989442.5343258764,988870.6666334408,5995.9427781219465
2019-05-07,999914.5831365474,988137.0772046634,984313.007529528,982165.8971473584,988117.3603342894,988529.5850704772,6135.441675445336
2019-05-08,1001723.1979378216,988313.278343632,985035.8358218452,983745.198531482,985222.4393345744,988807.989993871,6629.698543250968
2019-05-09,999187.86898962,986900.7699958232,983560.4699995216,981672.7315988556,982664.1326474884,986797.1946462619,6439.848569414411
2019-05-10,1000161.2189169816,988712.6146772444,984925.0660269348,982826.071101156,984353.1792948932,988195.630003442,6288.652799732896
2019-05-13,999817.7870572328,989265.7478548707,985354.6592725138,983010.6802222644,984489.739598318,988387.7228010399,6078.217357196031
2019-05-14,1002340.0307450024,984736.2311313746,988698.3596957352,984656.838317703,985609.9949622462,989208.2909704123,6728.527238982086
2019-05-15,1001619.3611962658,984313.210897068,987650.4285875452,984181.1242953576,984492.9380801732,988451.4126112818,6709.188351583802
2019-05-16,1004190.124298275,985550.7305732574,989912.6387924148,986264.5889471,986902.2950339745,990564.0755290042,6973.111554985913
2019-05-17,1004420.7096485582,983194.2321138328,989810.390406694,983778.9093407138,986063.1744788188,989453.4831977235,7836.050742379179
2019-05-20,1002917.2065890896,979037.572393036,986413.7777518992,980876.2148902084,981412.0730321846,986131.3689312836,8741.332252247526
2019-05-21,1000219.8259733444,976787.8845332308,984014.6492882028,978848.9035891432,979047.0389865632,983783.660474097,8554.872083151919
2019-05-22,1001827.7163806882,975138.4928781812,984655.0173490114,977937.9599048191,980377.1957633528,983987.2764552105,9451.5084378897
2019-05-23,1001625.1466471432,976274.6758990692,985821.8353340324,978414.930690544,979629.9787845372,984353.3134710651,9201.211261055758
2019-05-24,1002424.9707840084,979371.5584478354,989527.5346838096,982909.8694145068,980423.0887584714,986931.4044177264,8514.372304473874
2019-05-28,1003439.758275472,980729.683190614,990627.1299105304,984136.6115133849,981374.5734278088,988061.551263562,8449.243264960796
2019-05-29,999482.0221255792,976664.2483239996,990943.4032183512,983781.9450202178,980380.160524083,986250.3558424462,8118.465233268341
2019-05-30,998747.0928187884,974838.2060732924,990784.2021175616,983722.416629666,980320.2363293278,985682.4307937272,8329.531310396995
2019-05-31,1004125.1020396862,978630.108008451,993549.9116044116,989083.2316238292,983889.5381575704,989855.5782867897,8711.701830954447
2019-06-03,1006145.178481927,985233.3037584652,993103.674983445,994570.2427580584,985754.6459271314,992961.4091818056,7590.538953676526
2019-06-04,1009608.8061940568,989665.3231798634,995179.7017480248,998268.6700722536,989863.9569632872,996517.2916314971,7313.830194230831
2019-06-05,1014827.2503795688,990636.2421389382,1001596.6373636504,1000950.0337578978,991972.874911358,999996.6077102826,8665.030983923
2019-06-06,1017384.0196939546,990669.1769623996,1003261.9865380004,1002314.5712456172,993584.484327831,1001442.8477535605,9338.265241938918
2019-06-07,1018913.2553908734,992607.9349597152,1005628.677865748,1002943.4753009116,995924.9908647022,1003203.6668763902,9143.174597283007
