date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-05-15,729.5183228751483,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-18,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-19,607.718985029775,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-20,966.1954788560466,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-21,725.9808457807608,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-22,455.7788276633869,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-26,605.1773389618241,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-27,788.1495644984197,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-28,1183.2692011559845,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-05-29,1182.9624272850504,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-01,614.8555538005185,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-02,747.6790565906207,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-03,615.1238787467859,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-04,617.4102052183011,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-05,748.8134980660515,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-08,616.507597186341,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-09,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-10,625.174052463522,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-11,1.4752000813713084,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-12,765.0058662468923,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-15,736.2691867600226,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-16,2.42858308424271,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-17,0.001942095249438329,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-18,633.0769153142377,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-19,633.1219547952512,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-22,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-23,633.3006955205108,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-24,634.6185605572342,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-25,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-26,991.6564023159854,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-29,0.962280646896119,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-06-30,0.9632359236762981,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-01,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-02,1214.653147730386,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-06,539.4106600808766,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-07,769.6197759480065,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-08,368.6733928677263,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-09,653.7283229922986,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-10,640.9372965308106,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-13,5.023771305258775e-05,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-14,1274.2874847630508,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-15,625.445220012258,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-16,396.83257301138997,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-17,397.17317127826067,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-20,0.00279123344334789,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-07-21,328.6605741928792,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
