date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ppo_mean,ppo_sd
2019-05-02,985103.5104162385,980587.8783950664,977870.670279824,980947.8287513404,991077.6731294104,983117.5121943759,4603.135334242974
2019-05-03,982412.8860317416,977046.9409718944,974973.6417811523,977724.3570024417,988146.6944413856,980060.904045723,4718.802569074886
2019-05-06,985897.005083993,981593.8715606336,977895.3874967304,981448.8222030194,991507.6316575052,983668.5436003763,4668.577956997636
2019-05-07,984086.3277452858,982023.3800814054,977202.5387004284,980023.3092977426,990486.0577469224,982764.3227143569,4480.367868109163
2019-05-08,980927.2501269404,981916.1754509727,978324.6021845376,979652.1602277588,988208.6250077548,981805.7625995928,3421.610825080079
2019-05-09,979537.0830308408,980484.9180415444,975936.8267875356,977877.3834934623,986274.9796799606,980022.2382066688,3488.186127786335
2019-05-10,979304.3262169532,979972.2113213168,975824.6984713792,979080.0189715266,987674.402878627,980371.1315719604,3923.5700196551443
2019-05-13,979447.614179157,980780.2891267556,976941.538884306,979265.5889738963,987572.3150224308,980801.469237309,3603.7678969390854
2019-05-14,974996.939293764,982200.6124837452,973926.3116416272,981781.574115269,988499.1869958178,980280.9249060445,5325.008805859867
2019-05-15,974311.8522034392,983467.7897901622,974938.255485258,981410.4478730012,987733.8090047516,980372.4308713225,5120.732175610335
2019-05-16,976147.3864540734,983912.2691980676,976902.499658108,983282.8918435436,989847.5640861344,982018.5222479854,5042.275810371676
2019-05-17,975526.1842208834,981127.1846015088,976758.0150233892,980924.0430295948,988301.2162271444,980527.328620504,4475.929140195462
2019-05-20,972231.8583772376,977904.7982894202,974035.8338124616,977517.6215489114,984178.3186237664,977173.6861303595,4098.42583535231
2019-05-21,969608.6193806432,975333.3586133512,972296.3158853065,974414.3221749356,981188.5500706392,974568.2332249752,3852.196217521159
2019-05-22,969941.82764741,973332.3555072116,971551.997386119,975574.1300837852,981521.5712424192,974384.376373389,4030.395075002235
2019-05-23,969729.8156790548,973605.3919455884,971631.7290727894,975710.4151849787,982569.087372759,974649.2878510341,4432.737343349024
2019-05-24,969178.7094487489,974405.8253308556,973538.5514842296,979906.5689987616,985222.6402781794,976450.459108155,5557.588226169727
2019-05-28,970365.7491620872,975761.9895931144,974219.4824500968,981043.4916254714,986133.993087988,977504.9411837517,5509.665290281277
2019-05-29,968714.2457134918,974077.230614544,972764.1211297248,977366.5897522704,984304.8421566384,975445.4058733338,5225.902166461571
2019-05-30,967032.1422090952,971074.6907310736,970947.0460083416,975271.4671381183,980644.459810887,972993.961179503,4628.907190869059
2019-05-31,969731.568767964,974078.8431546856,975197.2361816656,978618.3657626436,983873.178298804,976299.8384331524,4733.323649294538
2019-06-03,971493.6491819384,976908.042002516,978818.413867204,984934.2573612469,989903.7343622266,980411.6193550263,6401.531876742678
2019-06-04,975037.9885308712,978466.937755434,983339.6032510308,986750.0901816714,995586.749050421,983836.2737538858,7114.074351417934
2019-06-05,979586.7635427136,983233.1659326028,983636.530798652,991776.5059263104,996659.6663302238,986978.5265061004,6270.245539881152
2019-06-06,979659.6790529924,984545.6834783368,983390.6715105936,993272.9270154332,998388.3407681044,987851.460365092,6904.34976464599
2019-06-07,981212.4550930732,986013.74734062,983951.5756537082,994240.1524180782,1000170.0621757148,989117.5985362388,7031.507495532999
2019-06-10,984438.812991255,989755.4626361196,988740.747440794,999399.3919272254,1004690.3760745148,993404.9582139818,7466.717245133812
2019-06-11,981605.1120892531,986753.464585172,984911.2410716136,995534.13873117,999750.3400476668,989710.859304975,6814.505315844158
2019-06-12,980878.1818796252,985215.3531380908,984124.9804209037,994671.1618450516,998594.6463382296,988696.8647243802,6750.0097392259695
2019-06-13,980816.129494962,985863.7735199832,984180.7821799624,994011.556034539,997509.8860171194,988476.4254493132,6264.179367406576
