date,transaction_cost_mean,transaction_cost_sd
2019-11-12,526.0495793087431,375.21030691988955
2019-11-13,619.944642819285,158.60121811517513
2019-11-14,474.0828023452091,295.2655874766367
2019-11-15,466.1489801588543,242.44512118833498
2019-11-18,589.2615762099301,414.6702547296348
2019-11-19,572.4916019191165,218.39399122114702
2019-11-20,588.8399171177718,228.9537384823228
2019-11-21,435.1418939212223,190.10540629084952
2019-11-22,753.5274709746972,252.68468053930118
2019-11-25,492.02836579224123,288.2512810801952
2019-11-26,757.0570454206797,162.31745148660073
2019-11-27,851.850191887889,423.3338226915068
2019-11-29,546.0825683039627,381.0083081311239
2019-12-02,788.6969548872518,357.2739843230977
2019-12-03,474.5490226987903,258.5710146853216
2019-12-04,639.0862093481564,232.1135877015248
2019-12-05,741.2068709472591,169.04115560406171
2019-12-06,334.2643017314719,344.9723190128718
2019-12-09,764.0762646442248,392.33419385647124
2019-12-10,546.2166828168389,352.50674105098597
2019-12-11,679.9302787311256,202.20574917758537
2019-12-12,519.9805194682411,314.45809523826375
2019-12-13,797.2969742842793,183.96776471858257
2019-12-16,677.2468609614591,294.7620315286754
2019-12-17,813.2577865980064,181.01115408426165
2019-12-18,652.2772661040584,311.28137109810757
2019-12-19,722.6391291489642,301.4313005491187
2019-12-20,594.6870197543561,87.32476404157997
2019-12-23,765.6983901223366,164.85173090143877
2019-12-24,612.6471155058,361.83535978332924
2019-12-26,452.74417939689204,206.94159692506577
2019-12-27,676.3633135683123,141.66118751217968
2019-12-30,680.9504208440055,328.62710036833556
2019-12-31,667.5714133236328,174.76939155712475
2020-01-03,195.4496826171875,287.4077124552621
2020-01-06,589.1645706721517,282.5991255327999
2020-01-07,562.6706346249377,86.56775123559608
2020-01-08,549.2089070741811,218.93044849287315
2020-01-09,747.8787290492772,352.72742201681154
2020-01-10,742.7826478831328,480.349996692172
2020-01-13,849.6229057233692,386.40331508570387
2020-01-14,691.1952323022995,182.5408674841455
2020-01-15,671.0060313755828,222.805264925386
2020-01-16,741.9841630548161,188.58345543515063
2020-01-17,682.0599828049161,395.19999321263856
2020-01-21,692.8919460252177,231.08844339488513
2020-01-22,750.2415935898499,251.61290675128623
2020-01-23,764.0672551924563,283.90619605734656
2020-01-24,566.9782851989821,132.58943002359612
2020-01-27,737.8385303991907,66.36658083379847
2020-01-28,630.3725466320095,212.83633386330757
2020-01-29,633.4282035145518,319.4839981250805
2020-01-30,732.4173533057277,226.58046831355028
2020-01-31,896.3801440341527,289.99549843674595
2020-02-03,974.486570667932,221.49923706525217
2020-02-04,820.6343565166222,314.67463462352583
2020-02-05,896.0217843950992,181.28101800291495
2020-02-06,746.8885632918708,299.8518038661099
2020-02-07,540.4513414092505,350.4481108468174
2020-02-10,662.4425045029047,393.6494464402481
2020-02-11,510.3817602033281,244.94610410890795
2020-02-12,481.51401070490385,157.83761094648784
2020-02-13,371.29399737100647,232.74720146473956
2020-02-14,652.2620203014947,194.0733435054426
2020-02-18,751.4109724018415,388.98688879694515
2020-02-19,471.49980759085713,246.4544286986269
2020-02-20,524.494044037766,427.89734228699996
2020-02-21,727.244761907051,289.93253720725124
2020-02-24,635.4267022753463,321.4688471333225
2020-02-25,697.5429562507895,201.82054133062013
2020-02-26,515.7518423149448,334.0537992829352
2020-02-27,664.6176186577273,195.72969985619974
2020-02-28,530.7313594959895,331.24379640773753
2020-03-02,441.51071850463177,222.83903653577875
2020-03-03,463.1363361184149,99.25483193216148
2020-03-04,502.42696853068236,293.87239009404703
2020-03-05,757.9162202356645,165.99512534053127
2020-03-06,611.6698640444445,290.955287604293
2020-03-09,326.53917338164354,239.21497576269465
2020-03-10,632.0064091135519,297.35161236914274
2020-03-11,457.6530953959109,263.77005873524644
2020-03-12,323.24387060970514,249.86616407608287
2020-03-13,432.0779870738558,142.13203570982927
2020-03-16,641.0878108374353,141.79497816162407
2020-03-17,439.2657457147866,305.65642383135645
2020-03-18,649.9134753657911,298.5066707347117
2020-03-19,518.209369708607,299.3375609990102
2020-03-20,411.254959238756,208.0753277825945
2020-03-23,409.76435543647614,148.0276125796825
2020-03-24,607.9079868105355,202.7508829360542
2020-03-25,509.6126974886706,289.88911622617354
2020-03-26,555.3942606113411,289.1350093031549
2020-03-27,455.8327062573655,368.8185846449099
2020-03-30,582.4172577129015,350.400080560145
2020-03-31,515.772468826982,227.31415180025311
2020-04-01,625.5442138529454,281.73979541231006
2020-04-02,691.4879271732835,301.3901730419957
2020-04-03,491.4224318728152,348.8566919716394
2020-04-06,547.5710547239566,146.52402803992024
2020-04-07,721.6915090616457,166.53675015029557
2020-04-08,626.6928898386793,120.58112175765312
2020-04-09,677.7163780554827,84.41517392126588
2020-04-13,635.9048209977982,215.1378935746972
2020-04-14,697.7229948820109,186.90003657814256
2020-04-15,768.3986600288702,412.80195297136606
2020-04-16,678.7167490258998,211.18356693228841
2020-04-17,729.4768649948674,176.32863492620226
2020-04-20,784.9239713623074,212.3903031983135
2020-04-21,708.5218099323073,216.64112636913484
2020-04-22,808.8795416854616,229.99760426069182
2020-04-23,596.9863099726624,360.6783562848297
2020-04-24,631.3674753195879,166.42030578557043
2020-04-27,388.4571347728828,286.5889493280674
2020-04-28,681.2749339753634,333.65077359417097
2020-04-29,590.4796235417919,406.9379793035942
2020-04-30,761.7940028104233,345.79880145112753
2020-05-01,635.8008014070073,255.67530168827633
2020-05-04,676.5955584212348,517.0600567351964
2020-05-05,860.4782798480417,203.41786927220843
2020-05-06,749.5357424887627,429.8914348297459
2020-05-07,504.7768351517017,474.3943154879424
2020-05-08,565.6658671960861,255.96308284971292
2020-05-11,656.0575929502904,149.64753834305128
2020-05-12,681.1851243568466,145.3223734556153
2020-05-13,430.3850670373683,257.5842845817151
2020-05-14,619.758109021809,137.07321514448822
2020-05-15,521.243657104272,292.43636974545285
2020-05-18,585.7630841415664,167.14324069702778
2020-05-19,690.20960395491,218.98050950256456
2020-05-20,431.1781961360028,313.20483150791915
2020-05-21,839.5133412124405,169.0956359400781
2020-05-22,834.3826809736286,145.8636881118665
2020-05-26,757.1535626950324,178.9142209254985
2020-05-27,658.6934054718575,301.10241789982217
2020-05-28,471.7544734839421,139.1726228146294
2020-05-29,555.0503275878029,406.9836517940824
2020-06-01,804.3229984991101,245.73145568308632
2020-06-02,837.7153102590149,380.6047487795142
2020-06-03,651.3845560204948,248.61000702876797
2020-06-04,513.8430816416505,283.72020115795317
2020-06-05,580.5937960640764,259.2104148889347
2020-06-08,543.6869560799081,376.32546169522755
2020-06-09,590.5015105657342,122.1794867572983
2020-06-10,592.2142934240902,223.80185596965845
2020-06-11,690.2149440325672,277.3147076691347
2020-06-12,610.777500939322,200.5545848506469
2020-06-15,716.5172983669569,229.3031579139028
2020-06-16,566.6997740652923,150.4043560492331
2020-06-17,822.4512379012303,296.9330745484991
2020-06-18,729.0669304872165,195.16323351449154
2020-06-19,508.22978843553875,499.13300386118414
2020-06-22,651.5111503153157,79.5605890749408
2020-06-23,576.3359854909517,241.81234765806562
2020-06-24,425.57597847202686,256.3215808488831
2020-06-25,537.2700748962909,270.3140273101515
2020-06-26,596.888750739807,455.143330278688
2020-06-29,626.8274856016326,352.9386120452977
2020-06-30,571.5328453228063,91.41900455708748
2020-07-01,650.8936925040633,237.15948267258827
2020-07-02,812.4611460139677,391.6535928837248
2020-07-06,391.02394046056884,219.05800368657316
2020-07-07,628.0887752171059,365.15650014572043
2020-07-08,634.4092599020953,256.76093854393565
2020-07-09,486.68738328656565,350.71846703309325
2020-07-10,649.3914530199664,130.23449404042628
2020-07-13,653.5366373883685,292.49842063705387
2020-07-14,585.3131060095686,373.0579523635968
2020-07-15,694.6378423903412,203.21981642861184
2020-07-16,705.2247549082792,108.7266432851324
2020-07-17,345.437868570287,307.35525640471616
2020-07-20,461.2945078670844,278.77692176125845
2020-07-21,581.1851913661812,269.1435883643077
2020-07-22,779.5291535040944,210.52530244240018
2020-07-23,427.75850909952317,124.1046704186569
2020-07-24,516.2688027302636,417.80778771938037
2020-07-27,646.3517518823628,183.81772900151566
2020-07-28,689.266588428243,435.3167223968692
2020-07-29,508.68522961910793,313.4015319158554
2020-07-30,739.2391966454464,337.4060227795839
2020-07-31,284.489131506646,290.42493954211164
2020-08-03,678.6616968542543,261.5518483577394
2020-08-04,631.6289092389804,274.01662745242976
2020-08-05,611.2498829819185,207.1157231243487
2020-08-06,515.8078831972691,294.99192554901146
2020-08-07,569.9063625260864,203.46559510226095
2020-08-10,581.7183326849442,174.38820584849134
2020-08-11,507.29351174133626,416.3020028710726
2020-08-12,745.146251278695,305.68167986310914
2020-08-13,731.2241683269789,214.51063548618677
2020-08-14,921.0825087130821,211.75436322498936
2020-08-17,605.991610249994,316.34983610030235
2020-08-18,399.59101092892,399.47727544731384
2020-08-19,416.9372915246927,283.74256764268137
2020-08-20,362.60568339718304,295.8564534013393
2020-08-21,548.006598710309,202.49859740810237
2020-08-24,491.0025061786297,315.6094402358761
2020-08-25,294.8650310293779,240.03245534504217
2020-08-26,677.0436298363923,255.19064346741996
2020-08-27,543.0447414945493,149.45143629304746
2020-08-28,494.6041868398126,324.0301767115875
2020-08-31,341.1226053130496,301.5919263109836
2020-09-01,731.9851339866425,283.2456362378855
2020-09-02,799.9785154553247,293.02706275671346
2020-09-03,652.782306963942,358.3680556597419
2020-09-04,474.9285384547675,347.82692244814143
2020-09-08,496.05563756145074,353.3560027500532
2020-09-09,826.4738181928897,205.45457046760683
2020-09-10,665.0473369110812,221.14751648980854
2020-09-11,660.4278957432712,449.76149935311395
2020-09-14,412.2999838037607,170.60485163381114
2020-09-15,430.0756286423555,231.59264306081516
2020-09-16,684.6304066310202,321.7088693674441
2020-09-17,554.3916240007995,241.37148830069026
2020-09-18,615.6993558285242,180.25923656699013
2020-09-21,491.61690192633614,404.59157807452175
2020-09-22,565.8255422297931,360.3088694881348
2020-09-23,758.9035553739911,256.04469469090367
2020-09-24,629.0111430565263,319.4039748894642
2020-09-25,566.9912837675967,222.74258537514632
2020-09-28,504.5632643911781,255.2835937466735
2020-09-29,414.01922406307847,206.9268044572463
2020-09-30,732.4117340521871,371.9356645391057
2020-10-01,681.5676283479213,257.03232185131964
2020-10-02,657.2718275294523,255.28153006845056
2020-10-05,813.5578357009167,338.38422976756345
2020-10-06,690.5376484836256,345.69607051287863
2020-10-07,561.1854858285557,226.00767221709106
2020-10-08,629.6542706761587,337.8363915479511
2020-10-09,620.7800803697044,313.31713236225
2020-10-12,574.7331421787397,107.47282855244244
2020-10-13,695.7041228014534,259.6585106101953
2020-10-14,748.3812733986503,383.1854077585078
2020-10-15,386.121060194269,172.81615361445108
2020-10-16,632.2052238813857,387.0024758520021
2020-10-19,595.5022800879317,265.52975840296244
2020-10-20,828.0169358968527,169.7982235631364
2020-10-21,777.4162385170106,223.56507009967584
2020-10-22,765.7269807549708,155.9266985346728
2020-10-23,848.9124973780648,430.2863960527308
2020-10-26,800.5424224325828,340.69739239241017
2020-10-27,717.3280079644113,149.8750304613533
2020-10-28,869.6721035862735,296.7061001216138
2020-10-29,690.5734383849493,237.13269345971815
2020-10-30,683.7760080057242,375.0649965630479
2020-11-02,622.7927997937667,252.50723951887076
2020-11-03,598.9947599129844,116.92704464971396
2020-11-04,590.4298026778968,255.9447240400752
2020-11-05,649.7921432857777,99.35898448057424
2020-11-06,812.169886523289,385.57189617242386
2020-11-09,701.2405373274776,295.80323542388174
2020-11-10,443.98259549156035,396.6668063135424
2020-11-11,667.4387865895183,193.06821621557629
2020-11-12,937.7351324873538,299.40323411386885
2020-11-13,677.817583898152,351.06977471688134
2020-11-16,713.6151214827368,420.19882256356266
2020-11-17,759.6651240029132,464.4011976549136
2020-11-18,710.7923017915795,285.94678671486093
2020-11-19,762.7095477966741,256.8051888593952
2020-11-20,465.00878379812696,310.66986969850825
2020-11-23,506.0164686344459,338.54197145976013
2020-11-24,830.4439498993422,245.56654823740703
2020-11-25,767.2329689428227,240.5154989839054
2020-11-27,647.5346736540694,348.1111270378559
2020-11-30,740.4577495554826,226.53878141464983
2020-12-01,614.8549692307006,292.5623707065441
2020-12-02,733.5303888339881,285.9084682254462
2020-12-03,628.1024933905182,352.41130202883693
2020-12-04,770.2281830405387,395.6887572593366
2020-12-07,678.7936674029601,475.29803041991624
2020-12-08,918.7508606730371,355.6904051735809
2020-12-09,577.3894039404913,139.44370694784698
2020-12-10,753.4353562565292,373.5905514954127
2020-12-11,593.8458257293703,180.36305406979727
2020-12-14,427.2654014939306,306.3238268093405
2020-12-15,715.1155823032402,448.2993081911403
2020-12-16,925.3613834944459,208.16150442776188
2020-12-17,716.4228382875542,234.06562663291663
2020-12-18,479.45535202726325,334.2630221371678
2020-12-21,599.0950068305785,214.77149648358755
2020-12-22,552.3165947180071,266.9867509427841
2020-12-23,459.61390534093135,160.57648829797114
2020-12-24,553.7133586532402,116.37883454641896
2020-12-28,615.9709825580597,373.7047435408049
2020-12-29,744.5781296193321,420.5315616201907
2020-12-30,635.2207493641984,131.73296277709684
2020-12-31,650.8738267155309,417.18326889390397
2021-01-05,357.40870361328126,294.7252635729955
2021-01-06,621.7978236483775,254.21013749906155
2021-01-07,557.031940998963,215.01542156724116
2021-01-08,645.0323357469903,193.28541557324579
2021-01-11,757.6082989376555,308.12068243909374
2021-01-12,618.4578128551722,362.7214660050734
2021-01-13,597.0499798002172,342.39852567047996
2021-01-14,559.223243735509,321.4771129989915
2021-01-15,251.94524669667072,314.0430335775416
2021-01-19,634.0267544771591,307.80306028399076
2021-01-20,639.6423359326216,148.61201566128574
2021-01-21,452.995536415217,399.1348531363884
2021-01-22,455.62574529686344,217.7738756066868
2021-01-25,459.6954812418438,342.71250796592824
2021-01-26,614.3149748726352,277.6864222075358
2021-01-27,648.986509312576,141.9042975062275
2021-01-28,620.7613845336825,192.7868763715809
2021-01-29,527.3052758339978,235.11564231782293
2021-02-01,504.92201520881025,74.80150042423062
2021-02-02,433.24257061361914,275.3338267154416
2021-02-03,525.7616185529503,249.42215413299084
2021-02-04,517.9541646328796,344.31765072484734
2021-02-05,684.3125184850326,178.35862121650118
2021-02-08,893.3363637872442,265.79327640178474
2021-02-09,508.1443319140361,200.56838225436425
2021-02-10,523.4088129247859,279.0573204504862
2021-02-11,434.4414684140696,337.4040998276843
2021-02-12,562.288798747821,220.22687541723968
2021-02-16,345.29872880250855,181.05904141353005
2021-02-17,421.6613803265377,236.2277425398167
2021-02-18,339.96798617258224,217.70569726309634
2021-02-19,323.72555859165755,405.97322546870237
2021-02-22,590.3930483600477,321.0745179035448
2021-02-23,596.1783854491563,272.6365039194597
2021-02-24,584.2031966962902,367.98592049380625
2021-02-25,435.87508102618995,343.43826213186935
2021-02-26,548.1904400310348,187.3817803917036
2021-03-01,479.92458954310877,223.68571800132605
2021-03-02,375.5073081413735,242.27763448911944
2021-03-03,490.87872399178394,312.8146739309874
2021-03-04,514.7695813262553,159.5531284685164
2021-03-05,504.257012698882,250.96493633430705
2021-03-08,638.5431356745769,151.1687672142216
2021-03-09,284.0304806216662,187.51869082406193
2021-03-10,457.2320809786276,294.5134351294939
2021-03-11,357.1719833708021,261.79686207068545
2021-03-12,310.65520140861656,164.26341972213314
2021-03-15,625.2553584573869,217.93411811141922
2021-03-16,442.3220626514541,402.01902805980524
2021-03-17,543.4229174201344,235.94963559512098
2021-03-18,687.5711608150718,252.60460064064094
2021-03-19,620.443512492189,275.74480066443147
2021-03-22,460.7159531106392,275.57496163543027
2021-03-23,456.20087564172866,105.49710083984682
2021-03-24,587.5942538843778,201.5343533867939
2021-03-25,543.0193821821265,317.1459834227233
2021-03-26,598.7876014573171,294.34151573880274
2021-03-29,594.1992678924005,193.40468231790905
2021-03-30,534.8474406531452,78.54039339800875
2021-03-31,516.8080202671612,215.69554000095047
2021-04-01,425.846533050383,188.06476956779323
2021-04-05,638.3149670389892,281.66305791327795
2021-04-06,665.8110603083804,162.97897766077057
2021-04-07,605.1944897703473,59.113559623636775
2021-04-08,670.6470452985413,194.60309251909945
2021-04-09,566.5377471842787,347.8303223944649
2021-04-12,568.3244814550925,425.89080766443084
2021-04-13,642.7134616774775,327.7360756810887
2021-04-14,787.4551239973135,326.3844153532852
2021-04-15,868.9185057101125,264.126077223359
2021-04-16,788.6960780973229,251.73317688505566
2021-04-19,707.0734311063455,114.01149462759042
2021-04-20,557.4099655667083,110.9223822556979
2021-04-21,739.0070038911658,175.89441853431052
2021-04-22,685.9952262299355,253.1023583767711
2021-04-23,719.3696302800255,184.1306520302856
2021-04-26,633.6308787528372,303.7230970282042
2021-04-27,721.6507687183145,173.80459471797263
