date,turnover
2019-10-11,0.029142976569538057
2019-10-14,0.13176769847021025
2019-10-15,0.023570122840438787
2019-10-16,0.04134522298865062
2019-10-17,0.005110550624657803
2019-10-18,0.02916335405705507
2019-10-21,0.03474822797470706
2019-10-22,0.003560422222621984
2019-10-23,0.04572067831940489
2019-10-24,0.11224392992933653
2019-10-25,0.0150535241713107
2019-10-28,0.007308467533468296
2019-10-29,0.07287228666941388
2019-10-30,0.05693275645747349
2019-10-31,0.48041852814894265
2019-11-01,0.11923147487199065
2019-11-04,0.02736390084972467
2019-11-05,0.01597297996310029
2019-11-06,0.23813225166006688
2019-11-07,0.051859582609043
2019-11-08,0.01524469942659629
2019-11-11,0.061685137884345445
2019-11-12,0.0017715716100564147
2019-11-13,0.07338830599888757
2019-11-14,0.03077584344197399
