date,transaction_cost
2019-09-30,432.25079675970505
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,3139.2825795406043
2019-10-07,2853.6726512310947
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-14,109.71161664302953
2019-10-15,48.7247483650556
2019-10-16,234.6746785474275
2019-10-17,295.89883698531764
2019-10-18,0.0
2019-10-21,0.0
2019-10-22,2962.4936169315615
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,916.9166941938234
2019-10-28,511.91784145457035
2019-10-29,265.26287910490987
2019-10-30,306.388235802757
2019-10-31,454.0460193129508
2019-11-01,186.45448211027556
2019-11-04,4.9561536310116745
2019-11-05,207.22264844003277
2019-11-06,1332.3780759958222
2019-11-07,8.644561037014991
2019-11-08,254.4159571476453
