Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2023-01-13,745393.5247010634,-8.25%,14.39%,-0.78,-40.19%
2023-01-17,740260.7237620214,-8.25%,14.39%,-0.78,-40.19%
2023-01-18,737741.5416364925,-8.25%,14.39%,-0.78,-40.19%
2023-01-19,747884.0538009758,-8.25%,14.39%,-0.78,-40.19%
2023-01-20,744253.0048470799,-8.25%,14.39%,-0.78,-40.19%
2023-01-23,745581.1456296035,-8.25%,14.39%,-0.78,-40.19%
2023-01-24,748086.5705379219,-8.25%,14.39%,-0.78,-40.19%
2023-01-25,751307.4390345704,-8.25%,14.39%,-0.78,-40.19%
2023-01-26,744628.1816366498,-8.25%,14.39%,-0.78,-40.19%
2023-01-27,743199.8494904025,-8.25%,14.39%,-0.78,-40.19%
2023-01-30,737859.5081219224,-8.25%,14.39%,-0.78,-40.19%
2023-01-31,742708.1216941859,-8.25%,14.39%,-0.78,-40.19%
2023-02-01,750799.1166130207,-8.25%,14.39%,-0.78,-40.19%
2023-02-02,751507.2795774784,-8.25%,14.39%,-0.78,-40.19%
2023-02-03,741734.7037887502,-8.25%,14.39%,-0.78,-40.19%
2023-02-06,736649.9366269452,-8.25%,14.39%,-0.78,-40.19%
2023-02-07,744291.9190170554,-8.25%,14.39%,-0.78,-40.19%
2023-02-08,736566.7480825587,-8.25%,14.39%,-0.78,-40.19%
2023-02-09,729623.0503460882,-8.25%,14.39%,-0.78,-40.19%
2023-02-10,730804.1068572842,-8.25%,14.39%,-0.78,-40.19%
2023-02-13,739383.0505522321,-8.25%,14.39%,-0.78,-40.19%
2023-02-14,739042.7372022953,-8.25%,14.39%,-0.78,-40.19%
2023-02-15,741442.6628322323,-8.25%,14.39%,-0.78,-40.19%
2023-02-16,731233.8343821929,-8.25%,14.39%,-0.78,-40.19%
2023-02-17,729407.2146457634,-8.25%,14.39%,-0.78,-40.19%
2023-02-21,714774.5832779434,-8.25%,14.39%,-0.78,-40.19%
2023-02-22,713789.4879648339,-8.25%,14.39%,-0.78,-40.19%
2023-02-23,717586.4120469992,-8.25%,14.39%,-0.78,-40.19%
2023-02-24,709920.8637274113,-8.25%,14.39%,-0.78,-40.19%
2023-02-27,712338.7680907401,-8.25%,14.39%,-0.78,-40.19%
2023-02-28,709706.0475604313,-8.25%,14.39%,-0.78,-40.19%
2023-03-01,706983.6591912324,-8.25%,14.39%,-0.78,-40.19%
2023-03-02,712482.0546817378,-8.25%,14.39%,-0.78,-40.19%
2023-03-03,723908.6485759834,-8.25%,14.39%,-0.78,-40.19%
2023-03-06,724410.3222237505,-8.25%,14.39%,-0.78,-40.19%
2023-03-07,713305.8957202167,-8.25%,14.39%,-0.78,-40.19%
2023-03-08,714470.0992720735,-8.25%,14.39%,-0.78,-40.19%
2023-03-09,701288.1309185887,-8.25%,14.39%,-0.78,-40.19%
2023-03-10,691169.0840269558,-8.25%,14.39%,-0.78,-40.19%
2023-03-13,692911.146516052,-8.25%,14.39%,-0.78,-40.19%
2023-03-14,685845.5809995106,-8.25%,14.39%,-0.78,-40.19%
2023-03-15,690693.2151834323,-8.25%,14.39%,-0.78,-40.19%
2023-03-16,692088.4790275705,-8.25%,14.39%,-0.78,-40.19%
2023-03-17,712242.2441126506,-8.25%,14.39%,-0.78,-40.19%
2023-03-20,712513.5142034852,-8.25%,14.39%,-0.78,-40.19%
2023-03-21,699064.7391093709,-8.25%,14.39%,-0.78,-40.19%
2023-03-22,702648.0072549365,-8.25%,14.39%,-0.78,-40.19%
2023-03-23,709348.6655401854,-8.25%,14.39%,-0.78,-40.19%
2023-03-24,704084.9179418909,-8.25%,14.39%,-0.78,-40.19%
2023-03-27,698585.8168487954,-8.25%,14.39%,-0.78,-40.19%
2023-03-28,701706.682916692,-8.25%,14.39%,-0.78,-40.19%
2023-03-29,702741.3469699472,-8.25%,14.39%,-0.78,-40.19%
2023-03-30,707851.2154559894,-8.25%,14.39%,-0.78,-40.19%
2023-03-31,710564.2747483758,-8.25%,14.39%,-0.78,-40.19%
2023-04-03,714012.8187032248,-8.25%,14.39%,-0.78,-40.19%
