Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-05-23,88494.85073930454,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-24,88644.6165803715,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-25,89251.91017667709,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-26,89336.21835933937,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-27,89679.57478220976,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-05-31,90287.25146013584,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-01,89162.51049247425,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-02,88859.61115809015,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-03,89623.1682479711,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-06,88793.41052681161,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-07,88186.22000175831,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-08,88649.05385326255,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-09,87921.11325055774,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-10,87382.67191432531,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-13,86922.4355296655,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-14,84838.4087031917,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-15,84209.38328431715,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-16,85411.07249118233,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-17,85385.35216999798,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-21,84849.06098446241,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-22,84687.21696523468,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-23,85389.62737517507,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-24,85839.05966955126,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-27,86156.45049491408,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-28,85835.2969791516,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-29,85343.48701021311,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-06-30,85577.59290521227,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-01,85599.00535440653,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-05,86098.62828808272,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-06,85774.1019145484,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-07,85131.21061779473,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-08,85240.51353224902,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-11,84986.84821105456,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-12,84795.78471362367,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-13,84748.74900828823,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-14,84898.23065578393,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-15,84138.64658933975,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-18,84672.85411775432,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-19,84366.42608430788,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-20,84854.20781777524,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-21,84833.10157537414,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-22,85833.7959146762,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-25,86294.92800856379,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-26,85938.137112265,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-27,85634.15955870089,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-28,86350.4749278666,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-07-29,87402.5665797707,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-01,87886.28693281281,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-02,88759.8433029783,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-03,87762.39405679675,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-04,88370.68041831204,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-05,88890.8813696271,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-08,87714.62325077599,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-09,88219.3621400726,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-10,88094.42335618546,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-11,88739.85882777712,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-12,88129.53904050624,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-15,88872.17229730959,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-16,88683.97404740589,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-17,88622.80433578586,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-18,87963.77364300324,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-19,87866.23727148212,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-22,86896.97135200624,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-23,86122.50588646368,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-24,86213.2438128871,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-25,86140.76112273046,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-26,86905.58113402229,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-29,85914.49648424565,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-30,85418.59632680638,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-08-31,85055.96122364755,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-01,84491.88873461612,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-02,83784.89534776556,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-06,83866.94821290227,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-07,82778.07271551427,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-08,83542.2263911908,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-09,83310.24612328105,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-12,83976.12291928966,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-13,84116.42676942839,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-14,82736.42079189343,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-15,82995.42650693246,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-16,82317.53575367811,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-19,82182.13898148708,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-20,82355.01248233013,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-21,81732.81617556236,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-22,81782.16886422448,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-23,81299.73660427514,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-26,80545.60227513309,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-27,79545.11409456232,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-28,78993.01088776534,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-29,80548.14199978655,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-09-30,79966.58549422504,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-03,79375.90688830262,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-04,80694.45269045721,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-05,81649.08006920188,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-06,81217.8591157702,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-07,80775.35136004855,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-10,79750.71074058443,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-11,78951.29528820624,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-12,78842.24212870575,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-13,78859.28864037339,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-14,78998.6986287881,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-17,77946.62267225768,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-18,78358.88331621868,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-19,78661.49314322998,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-20,77822.11604141307,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-21,77239.47700666366,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-24,78055.88616514344,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-25,77872.82846625979,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-26,78947.04304904443,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-27,79408.29045187276,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-28,79510.527731207,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-10-31,79466.51095022826,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-01,78856.14090875667,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-02,79227.44957866553,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-03,78544.00303080505,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-04,78114.47266307751,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-07,78852.8677432354,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-08,78779.05661660335,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-09,79697.93864542701,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-10,79122.45502627394,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-11,82321.21730045386,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-14,82957.68603877445,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-15,82630.96785734674,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-16,83278.96731878213,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-17,83490.3624324175,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-18,82939.16504793982,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-21,82729.08187253821,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-22,82376.6348832643,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-23,83089.32081023097,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-25,83985.4551667739,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-28,83974.65575956176,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-29,83548.54303772471,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-11-30,83389.60415631975,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-01,84571.56672848057,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-02,86070.8568069319,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-05,86388.85675838936,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-06,84932.37299278613,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-07,84948.56608107565,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-08,85682.69059801068,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-09,85759.7247808891,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-12,85124.08197953389,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-13,85154.82788065546,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-14,86227.78655418988,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-15,86185.96570780835,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-16,85003.2718561747,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-19,84847.45873251742,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-20,84217.1533385816,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-21,85074.53956706238,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-22,85296.76846246074,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-23,84724.69215822239,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-27,84509.34405096546,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-28,84087.04313461688,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-29,83468.77640721582,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-12-30,84426.62358942424,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-03,84520.81436636548,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-04,85062.4995068021,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-05,85446.64730046123,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-06,84907.75043634264,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-09,86388.42694131048,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-10,86597.73929201461,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-11,86403.62047769364,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-12,86948.80467318726,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-13,88269.10590270364,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-17,88638.81646176385,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-18,88246.17753122325,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-19,88266.0069276902,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-20,88390.53133324342,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-23,88169.52226794531,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-24,88179.15956325312,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-25,88648.0349028109,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-26,88898.68595276166,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-27,88714.75825993104,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-30,88740.83811590781,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-01-31,88222.43283191102,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-01,88874.27706347861,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-02,89883.7246731991,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-03,89770.49557203693,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-06,88233.09956293151,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-07,87729.3882506956,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-08,88119.4532552275,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-09,87975.88975374616,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-10,87381.12045574877,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-13,87250.90919280432,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-14,87447.5074482574,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-15,87270.1985540175,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-16,86755.09930700787,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-17,86162.61863301197,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-21,86291.134130928,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-22,85243.49816213959,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-23,85280.2751397404,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-24,85633.93929425225,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-27,84697.50205653095,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-02-28,84929.95154978435,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-01,85075.73530528127,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-02,84872.88829935534,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-03,84762.89758901986,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-06,85977.01432666616,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-07,85688.63988176528,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-08,84935.79961323987,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-09,84965.62519954954,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-10,85016.59377548036,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-13,86099.88064664086,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-14,86858.18032878012,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-15,86588.31658183664,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-16,87214.50646036988,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-17,87423.79182591387,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-20,88386.24694432183,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-21,88487.81817316131,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-22,88002.13206679982,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-23,88513.8287830165,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-24,88947.6668802266,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-27,88903.13141407227,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-28,88073.34337959425,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-29,88378.08783022287,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-30,88210.14388650497,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-03-31,88671.52293324492,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-03,89168.95836780519,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-04,89589.28789009932,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-05,90149.87624597865,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-06,90356.23519514197,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-10,90242.98139870506,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-11,89438.55387124947,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-12,89603.10689772258,-0.51%,9.97%,-0.35,-0.22874370712909076
2023-04-13,89697.8907487259,-0.51%,9.97%,-0.35,-0.22874370712909076
