Date,portfolio_values,daily_return
2022-10-05,815287.3602301481,0.011830166192316804
2022-10-06,810981.5409358921,-0.005281352
2022-10-07,806562.9171561111,-0.005448489
2022-10-10,796331.6304293876,-0.012685045
2022-10-11,788349.2910010136,-0.010023888
2022-10-12,787260.3325110183,-0.001381315
2022-10-13,787430.5640020306,0.000216233
2022-10-14,788822.6600024223,0.001767897
2022-10-17,778317.3215358554,-0.013317744
2022-10-18,782433.9899808747,0.00528919
2022-10-19,785455.6793592324,0.00386191
2022-10-20,777074.0922883134,-0.010670987
2022-10-21,771256.2371712187,-0.007486873
2022-10-24,779408.4153,0.010569999618280645
2022-10-25,777580.5906,-0.002345144
2022-10-26,788306.8839767592,0.013794445941280875
2022-10-27,792912.4386712038,0.005842337
2022-10-28,793933.2132213073,0.001287374
2022-10-31,793493.8684292282,-0.000553378
2022-11-01,787399.0417946903,-0.007681
2022-11-02,791106.7106873635,0.004708755
2022-11-03,784282.4041813073,-0.008626278
2022-11-04,779993.3095264967,-0.005468814
2022-11-07,787366.4788461607,0.009452862
2022-11-08,786629.3537243257,-0.000936191
2022-11-09,795804.7142659532,0.011664147
2022-11-10,790058.3075,-0.007220876
2022-11-11,821998.7996003724,0.040428018798281506
2022-11-14,828354.0902918034,0.007731508
2022-11-15,825091.8335029995,-0.003938239
2022-11-16,831562.2201013279,0.00784202
2022-11-17,833673.0522130439,0.002538393
2022-11-18,828169.1847,-0.00660195
2022-11-21,826071.3998360963,-0.002533039
2022-11-22,822552.1964459182,-0.004260169
2022-11-23,829668.5156483745,0.008651511
2022-11-25,838616.7012849336,0.010785254
2022-11-28,838508.7789271049,-0.000128691
2022-11-29,834253.9502918641,-0.00507428
2022-11-30,832666.9560820061,-0.001902292
2022-12-01,844469.1446526079,0.014173960530552643
2022-12-02,859439.8914577054,0.017727997405110774
2022-12-05,862615.2733703064,0.003694711
2022-12-06,848071.8351834414,-0.016859704
2022-12-07,848233.5774163608,0.000190718
2022-12-08,855564.0023165282,0.008641989
2022-12-09,856333.1909998625,0.000899043
2022-12-12,849986.1309477441,-0.007411905
2022-12-13,850293.1712636726,0.00036123
2022-12-14,861006.8583,0.012599991831983237
2022-12-15,860589.3513948806,-0.000484905
2022-12-16,848779.8455950739,-0.01372258
2022-12-19,847224.0632185735,-0.001832963
2022-12-20,840930.1960688971,-0.007428811
2022-12-21,849491.4356440319,0.010180678033867796
2022-12-22,851710.5024981933,0.00261223
2022-12-23,845998.0828690293,-0.006706997
2022-12-27,843847.8808028195,-0.002541616
2022-12-28,839631.0259577539,-0.004997174
2022-12-29,833457.4900689891,-0.007352677
2022-12-30,843021.8431642528,0.011475513999486653
2023-01-03,843962.3645517138,0.001115655
2023-01-04,849371.2824927216,0.006408956
2023-01-05,853206.9909473207,0.004515938
2023-01-06,847825.9475043601,-0.006306844
2023-01-09,862610.9591441246,0.017438735
2023-01-10,864701.0150993676,0.002422942
2023-01-11,862762.6351850646,-0.002241676
2023-01-12,868206.4768921997,0.006309779
2023-01-13,881390.0648299161,0.015184853
2023-01-17,885081.6510177791,0.004188368
2023-01-18,881161.0491289954,-0.00442965
2023-01-19,881359.0849257691,0.000224744
2023-01-20,882602.4748341246,0.001410764
2023-01-23,880395.6596425612,-0.00250035
2023-01-24,880491.9439362907,0.000109365
2023-01-25,885173.6806658629,0.005317183
2023-01-26,887676.5845363813,0.002827585
2023-01-27,885840.0893,-0.002068879
2023-01-30,886100.3974508998,0.000293855
2023-01-31,880924.0202480237,-0.00584175
2023-02-01,887432.7662825993,0.007388544
2023-02-02,897512.4175486615,0.011358213995506627
2023-02-03,896381.8307916999,-0.001259689
2023-02-06,881030.4764372347,-0.01712591
2023-02-07,876000.8576,-0.005708791
2023-02-08,879895.7416788142,0.00444621
2023-02-09,878462.1711736765,-0.00162925
2023-02-10,872523.2964584071,-0.006760536
2023-02-13,871223.1210325477,-0.001490133
2023-02-14,873186.0644390363,0.002253089
2023-02-15,871415.6057463345,-0.002027585
2023-02-16,866272.1863879338,-0.005902372
2023-02-17,860356.1976019264,-0.006829249
2023-02-21,861639.4463690984,0.001491532
2023-02-22,851178.5808802651,-0.012140653
2023-02-23,851545.7175201903,0.000431327
2023-02-24,855077.1465722669,0.004147081
2023-02-27,845726.6491290113,-0.010935268
2023-02-28,848047.7517740885,0.002744507
2023-03-01,849503.3708492884,0.001716435
2023-03-02,847477.9084872155,-0.00238429
2023-03-03,846379.5858217586,-0.00129599
2023-03-06,858502.8738181941,0.014323700854227184
2023-03-07,855623.3851314156,-0.003354082
2023-03-08,848106.1645069999,-0.008785665
2023-03-09,848403.9985177523,0.000351175
2023-03-10,848912.8251964075,0.000599746
2023-03-13,859729.7464532191,0.012742087215267262
2023-03-14,867301.5316243261,0.008807169
2023-03-15,864606.9595405302,-0.003106846
2023-03-16,870859.5229428409,0.007231683
2023-03-17,872949.3791841484,0.002399763
2023-03-20,882559.6565782193,0.011008974429940643
2023-03-21,883573.9249925993,0.001149235
2023-03-22,878724.1688890744,-0.005488795
2023-03-23,883833.7726053341,0.005814798
2023-03-24,888165.7418091913,0.004901339
2023-03-27,887720.9183297816,-0.000500834
2023-03-28,879435.2323833621,-0.009333661
2023-03-29,882478.2381,0.003460182
2023-03-30,880801.2200253203,-0.001900351
2023-03-31,885408.2987997299,0.005230554
2023-04-03,890375.2862680118,0.005609827
2023-04-04,894572.2801949892,0.004713736
2023-04-05,900170.0772718875,0.006257512
2023-04-06,902230.5188614646,0.002288947
2023-04-10,901099.7036301004,-0.001253355
2023-04-11,893067.3560665015,-0.008913939
2023-04-12,894710.3718255614,0.001839745
2023-04-13,895656.7598464029,0.001057759
2023-04-14,900633.7318570598,0.005556785
2023-04-17,892304.7078628519,-0.009247959
2023-04-18,888369.1303468205,-0.004410576
2023-04-19,890647.8831587275,0.002565097
2023-04-20,888114.6965104179,-0.002844207
2023-04-21,890511.2159352292,0.002698435
2023-04-24,887520.6925475162,-0.00335821
2023-04-25,890221.5886113252,0.003043192
2023-04-26,892537.8972834762,0.002601946
2023-04-27,887649.6398555092,-0.005476807
2023-04-28,889495.303,0.00207927
2023-05-01,891203.6774154695,0.001920611
2023-05-02,881434.8264336379,-0.010961412
2023-05-03,890133.8580446641,0.009869172
2023-05-04,894348.0470375806,0.004734332
2023-05-05,893652.4614149289,-0.000777757
2023-05-08,892583.8822831073,-0.001195744
2023-05-09,889240.8996978368,-0.003745287
2023-05-10,888852.4926823159,-0.000436785
2023-05-11,893181.4194272405,0.004870242
2023-05-12,892881.9142453187,-0.000335324
2023-05-15,888404.6861498721,-0.005014356
2023-05-16,886795.8133118609,-0.001810968
2023-05-17,881423.6601217486,-0.006057937
2023-05-18,880531.8834822546,-0.001011746
2023-05-19,876375.8109727792,-0.004719957
2023-05-22,878015.4372081165,0.001870917
2023-05-23,875833.4183282793,-0.002485171
2023-05-24,874236.7192971858,-0.001823062
2023-05-25,868539.6089741383,-0.006516668
2023-05-26,866556.4087461662,-0.002283373
2023-05-30,871325.1351166115,0.005503077
2023-05-31,876215.8947225931,0.005613013
2023-06-01,877905.3263229199,0.0019281
2023-06-02,883274.9695191439,0.006116426
2023-06-05,879012.9116059227,-0.00482529
2023-06-06,880133.3667291877,0.001274674
2023-06-07,881820.9598308774,0.001917429
2023-06-08,874277.4792601865,-0.008554436
2023-06-09,883252.1269217606,0.010265216563931645
2023-06-12,881796.5777376554,-0.001647943
2023-06-13,884053.3570578456,0.002559297
2023-06-14,880703.2534312233,-0.003789481
2023-06-15,883447.0233401376,0.003115431
2023-06-16,889328.2369323401,0.006657121
2023-06-20,884852.0934417733,-0.005033174
2023-06-21,883417.6301473808,-0.001621133
2023-06-22,882064.2802245121,-0.001531948
2023-06-23,875995.1229435683,-0.006880629
2023-06-26,876149.7962549048,0.000176569
2023-06-27,876444.3675703794,0.000336211
2023-06-28,876356.4551253108,-0.000100306
2023-06-29,876319.4125925812,-4.23E-05
2023-06-30,872450.1888394707,-0.004415312
2023-07-03,879898.1425,0.008536824
2023-07-05,878435.2209,-0.001662603
2023-07-06,875246.5956380967,-0.003629892
2023-07-07,870636.7307296913,-0.005266933
2023-07-10,873544.2178422657,0.003339495
2023-07-11,875854.7579625141,0.002645018
2023-07-12,880491.2659917581,0.005293695
2023-07-13,890715.1087523656,0.011611520926436025
2023-07-14,895612.1770508821,0.005497906
2023-07-17,891845.9407986538,-0.004205209
2023-07-18,893556.3907253608,0.001917876
2023-07-19,898290.1838,0.005297699
2023-07-20,899954.6103178902,0.001852883
2023-07-21,893948.4505426789,-0.006673847
2023-07-24,890601.1903606203,-0.003744355
2023-07-25,890206.4591144329,-0.000443219
2023-07-26,892483.5135504212,0.002557895
2023-07-27,895248.9992763784,0.003098641
2023-07-28,887447.1952,-0.008714675
2023-07-31,889506.2611452644,0.002320212
2023-08-01,889105.4401337154,-0.000450611
2023-08-02,880991.1441,-0.00912636
2023-08-03,874419.3399766933,-0.007459557
2023-08-04,869924.351,-0.005140542
2023-08-07,874681.2289378264,0.005468151
2023-08-08,872905.5416,-0.002030097
2023-08-09,871768.2897087474,-0.001302835
2023-08-10,869863.1356,-0.002185391
2023-08-11,864547.5615757626,-0.006110816
2023-08-14,863856.7076071005,-0.000799093
2023-08-15,863108.7086272122,-0.000865883
2023-08-16,858740.9432,-0.005060504
2023-08-17,852801.5988938144,-0.00691634
2023-08-18,850846.9903,-0.002291985
2023-08-21,852470.9719118399,0.001908665
2023-08-22,850201.1212050258,-0.002662672
2023-08-23,852075.2394485865,0.002204323
2023-08-24,863529.7659230815,0.013443093
2023-08-25,857585.8918,-0.00688323
2023-08-28,858814.1876349059,0.001432272
2023-08-29,860645.8886379338,0.002132826
2023-08-30,869110.0335922478,0.009834643
2023-08-31,869743.4153737064,0.000728771
2023-09-01,871266.7678679073,0.001751496
2023-09-05,867366.4204,-0.00447664
2023-09-06,859267.0255582234,-0.009337916
2023-09-07,857377.2877888316,-0.002199244
2023-09-08,858121.7123161334,0.000868258
2023-09-11,858692.6378145189,0.00066532
2023-09-12,860695.7758924803,0.002332777
2023-09-13,858831.7232246003,-0.002165751
2023-09-14,857996.6872532812,-0.000972293
2023-09-15,858339.0056856263,0.000398974
2023-09-18,855283.8767,-0.00355935
2023-09-19,858057.3880028736,0.003242796
2023-09-20,855655.4051451184,-0.002799327
2023-09-21,854035.8502443014,-0.001892765
2023-09-22,844363.1202617699,-0.011325906
2023-09-25,845089.6195902574,0.000860411
2023-09-26,839049.4322638501,-0.007147393
2023-09-27,833293.5584483107,-0.006859994
2023-09-28,828986.7707734675,-0.005168392
2023-09-29,830252.7561018197,0.001527148
2023-10-02,827439.4985076024,-0.003388435
2023-10-03,821190.4358214721,-0.00755229
2023-10-04,814856.2176,-0.007713458
2023-10-05,818700.3246578275,0.004717528
2023-10-06,818081.7830502889,-0.000755517
2023-10-09,817974.4472674007,-0.000131204
2023-10-10,828960.0291046858,0.013430226181251115
2023-10-11,829073.1271579235,0.000136434
2023-10-12,835101.3334864323,0.007271019
2023-10-13,826690.0399088925,-0.010072183
2023-10-16,836135.9778170295,0.011426214726353745
2023-10-17,834156.2045510302,-0.002367765
2023-10-18,831798.7166356354,-0.002826195
2023-10-19,830140.3381690576,-0.001993726
2023-10-20,826782.6872021997,-0.004044679
2023-10-23,825880.9423791582,-0.001090667
2023-10-24,827605.9833577069,0.002088728
2023-10-25,831469.6288242089,0.00466846
2023-10-26,824498.9101,-0.008383612
2023-10-27,825018.1357319247,0.000629747
2023-10-30,826808.1872,0.002169712
2023-10-31,827948.1987329106,0.00137881
2023-11-01,823621.4406518317,-0.00522588
2023-11-02,830607.4981537265,0.008482122
2023-11-03,840618.1037055781,0.012052149
2023-11-06,846085.9871387515,0.006504599
2023-11-07,842089.7549994438,-0.004723199
2023-11-08,844275.5177576594,0.002595641
2023-11-09,844998.3627202697,0.000856172
2023-11-10,838955.1486676858,-0.007151746
2023-11-13,840704.2489243862,0.002084856
2023-11-14,841196.9777669775,0.000586091
2023-11-15,853911.6572960058,0.015114984795571162
2023-11-16,848939.9214381059,-0.005822307
2023-11-17,855306.0070117564,0.007498865
2023-11-20,858043.8586766017,0.00320102
2023-11-21,862661.4615834539,0.005381546
2023-11-22,864355.9774692433,0.001964288
2023-11-24,863271.6013892917,-0.001254548
2023-11-27,862159.5955011509,-0.00128813
2023-11-28,868142.6936831458,0.006939664
2023-11-29,873415.6035784235,0.006073782
2023-11-30,876329.9051311016,0.003336672
2023-12-01,872461.8992554421,-0.00441387
2023-12-04,883682.4262592325,0.012860764
2023-12-05,876204.7886760904,-0.008461906
2023-12-06,880144.4916543937,0.004496327
2023-12-07,882790.0880924838,0.003005866
2023-12-08,889283.1553683137,0.007355166
2023-12-11,883251.9727355683,-0.006782072
