Date,SPY,TLT,GLD,FXY
2012-11-27,111.24571228027344,87.50962829589844,168.7100067138672,119.38999938964844
2012-11-28,112.14148712158203,87.38389587402344,166.5500030517578,119.68000030517578
2012-11-29,112.66471099853516,87.39787292480469,167.17999267578125,119.4800033569336
2012-11-30,112.68848419189453,87.16041564941406,166.0500030517578,119.01000213623047
2012-12-03,112.1335678100586,87.24085998535156,166.1300048828125,119.2699966430664
2012-12-04,111.97502899169922,87.74473571777344,164.4199981689453,119.87999725341797
2012-12-05,112.17318725585938,87.70276641845703,164.1199951171875,119.0199966430664
2012-12-06,112.5536880493164,87.89173126220703,164.5,119.08999633789062
2012-12-07,112.89459991455078,87.07992553710938,165.16000366210938,118.9800033569336
2012-12-10,112.94215393066406,87.46482849121094,165.8000030517578,119.08000183105469
2012-12-11,113.71109771728516,86.79999542236328,165.64999389648438,118.83000183105469
2012-12-12,113.7666244506836,85.79220581054688,165.77000427246094,117.91999816894531
2012-12-13,113.06898498535156,85.8552474975586,164.3699951171875,117.31999969482422
2012-12-14,112.64876556396484,86.49909973144531,164.1300048828125,117.44000244140625
2012-12-17,113.97273254394531,85.20438385009766,164.44000244140625,116.97000122070312
2012-12-18,115.2410659790039,84.33659362792969,162.0800018310547,116.51000213623047
2012-12-19,114.38494873046875,84.61656951904297,161.69000244140625,116.19999694824219
2012-12-20,115.04288482666016,84.6305160522461,159.72999572753906,116.16999816894531
2012-12-21,113.9986343383789,85.55426788330078,160.3300018310547,116.43000030517578
2012-12-24,113.64737701416016,85.4002914428711,160.6199951171875,115.66999816894531
2012-12-26,113.16834259033203,85.70752716064453,160.77999877929688,114.55999755859375
2012-12-27,113.01669311523438,85.9950942993164,161.16000366210938,113.94000244140625
2012-12-28,111.795166015625,86.48609161376953,160.5399932861328,113.93000030517578
2012-12-31,113.69528198242188,84.99211120605469,162.02000427246094,113.02999877929688
2013-01-02,116.60931396484375,83.85588073730469,163.1699981689453,112.37999725341797
