Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-07-05,882879.1586456449,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-06,883087.6692918881,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-07,879022.4869133728,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-08,882548.375015615,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-11,880990.7260232699,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-12,877242.4286337763,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-13,876358.3700084965,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-14,877218.2610092046,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-15,873194.0339008701,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-18,878748.0221965691,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-19,876940.1736397146,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-20,883344.1910421201,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-21,885154.742425762,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-22,891804.495475465,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-25,892542.2960321647,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-26,891004.431847046,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-27,887609.8245112081,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-28,896377.0808427312,1.24%,7.56%,-0.23,-0.1693277893517734
2022-07-29,902990.3148970456,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-01,906610.2264914564,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-02,910714.3059139543,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-03,904187.2017984675,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-04,910182.8709093557,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-05,913099.0392109891,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-08,906288.0417808407,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-09,909471.9551530707,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-10,906662.1938516427,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-11,914297.2730659452,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-12,911057.6839975214,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-15,916886.3600973926,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-16,916961.9347406941,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-17,916529.1100495352,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-18,911012.1877800017,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-19,910982.8250756669,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-22,902655.7263002258,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-23,895174.0901973906,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-24,895661.2940287804,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-25,895563.2051422122,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-26,901758.6429759314,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-29,892100.7335704194,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-30,888201.7928564891,1.24%,7.56%,-0.23,-0.1693277893517734
2022-08-31,884955.865363413,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-01,881308.9430386344,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-02,876582.6823687978,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-06,875885.6797097109,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-07,869282.8767472144,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-08,876520.873453331,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-09,875964.7880775916,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-12,881681.1296653245,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-13,884318.6991049954,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-14,870339.117256543,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-15,872263.3898979428,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-16,867386.1284660352,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-19,865280.6926257922,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-20,866824.3504696862,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-21,861903.453338906,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-22,859345.7090134368,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-23,852998.2489291864,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-26,844928.4755783259,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-27,836992.6727186724,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-28,834626.6617794603,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-29,847780.1972516519,1.24%,7.56%,-0.23,-0.1693277893517734
2022-09-30,842815.2231121542,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-03,839161.668955946,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-04,849732.524983355,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-05,859651.0313608442,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-06,855379.1388671219,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-07,851178.2670332451,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-10,841441.0157120783,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-11,836757.4827778878,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-12,835221.8220665368,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-13,836041.4221843623,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-14,840532.9952760636,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-17,831461.612177817,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-18,838733.9966507579,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-19,841483.9978063648,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-20,834911.5285092645,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-21,830672.2106482266,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-24,837698.2208987752,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-25,837810.1866646052,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-26,847838.6884178994,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-27,849967.6213884223,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-28,849541.6362786015,1.24%,7.56%,-0.23,-0.1693277893517734
2022-10-31,852828.3282933941,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-01,848381.485646469,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-02,849120.5994410812,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-03,841070.4776542657,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-04,835662.8220851964,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-07,841701.9270846911,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-08,842818.9269527411,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-09,847684.4862340934,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-10,841514.7080329534,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-11,867723.7199026793,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-14,872617.27917385,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-15,869135.416740997,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-16,875184.2868886295,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-17,875181.504898066,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-18,871273.5726199012,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-21,870584.4785418041,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-22,867878.4739385619,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-23,873351.592834225,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-25,879328.1756696362,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-28,879201.7439645351,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-29,874218.1639748284,1.24%,7.56%,-0.23,-0.1693277893517734
2022-11-30,872918.283291675,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-01,884347.873393948,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-02,892142.3311343115,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-05,894063.5964696362,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-06,883769.1641850646,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-07,881622.0971747612,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-08,885607.2107117169,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-09,886788.1427970992,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-12,882364.7939361891,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-13,884254.9286716663,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-14,891336.6703371406,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-15,890951.8612351267,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-16,881637.1214788086,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-19,879345.9121838144,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-20,874061.6653373105,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-21,876008.6751591968,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-22,879094.4053006833,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-23,874043.0664350264,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-27,873342.7396358668,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-28,869159.8836961471,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-29,864669.4202091873,1.24%,7.56%,-0.23,-0.1693277893517734
2022-12-30,872413.238844551,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-03,871890.9677438289,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-04,873153.453309627,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-05,877225.128688522,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-06,872499.5299015536,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-09,884275.7125368277,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-10,886708.7663869445,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-11,886858.8897246004,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-12,892000.5585418049,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-13,899866.2910361177,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-17,901331.6024993428,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-18,899956.8008624148,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-19,900101.9672235737,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-20,899172.4393726942,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-23,900973.2414696842,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-24,903180.9092840663,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-25,905035.8174633557,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-26,906501.6126247079,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-27,907468.648400976,1.24%,7.56%,-0.23,-0.1693277893517734
2023-01-30,908330.5148957616,1.24%,7.56%,-0.23,-0.1693277893517734
