date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,sac_mean,sac_sd
2020-11-24,1129390.7240499884,1126109.825306698,1118938.1916019365,1127772.2246441045,1133466.5568416372,1127135.5044888728,4771.1970839494825
2020-11-25,1126463.9521708237,1123599.5954518656,1116695.9936700712,1125982.9652904454,1131696.4327523902,1124887.7878671193,4874.551969977704
2020-11-27,1125228.1194139412,1122395.5846349434,1115528.969315085,1124866.740477483,1130572.6462243192,1123718.4120131542,4886.6193896595905
2020-11-30,1126586.1038546104,1123744.4520733815,1116914.01625238,1126233.862349992,1131967.05811229,1125089.0985285307,4888.719290371265
2020-12-01,1122961.1372864794,1120085.560567543,1113327.2159606898,1122611.2613118845,1128329.6211053303,1121462.9592463854,4874.458453813216
2020-12-02,1127156.1979218116,1123994.999312417,1117371.3849988854,1127109.2110630083,1132438.066501776,1125613.9719595797,4934.445854454272
2020-12-03,1127145.778956669,1123945.1326889491,1116808.365578022,1127023.8563825474,1132430.522461271,1125470.7312134919,5118.998070052243
2020-12-04,1132012.616519109,1128871.1126679543,1121512.9551916963,1131921.373970289,1137346.3001414663,1130332.8716981031,5185.763729766742
2020-12-07,1129376.2447628991,1126062.365712508,1118844.947502182,1129215.9538208542,1134339.03581179,1127567.7095220466,5102.764073484768
2020-12-08,1134494.4628760072,1131170.9845945556,1123945.1244640115,1134401.2597310273,1139490.283851088,1132700.4231033379,5122.656914722745
2020-12-09,1136758.958929924,1133437.8786651308,1126127.15990071,1136680.2067255192,1141778.946728669,1134956.6301899906,5158.086073304594
2020-12-10,1130025.351203415,1126678.399917991,1119420.8058995332,1129923.6739357049,1135005.7526356408,1128210.796718457,5138.290782109602
2020-12-11,1131503.2203908642,1128186.2790589414,1120909.9077202927,1131411.6649029562,1136506.4635847542,1129703.5071315616,5139.384377956864
2020-12-14,1132802.460394823,1129522.4403116037,1122219.3584469848,1132755.8174373878,1137855.3422343056,1131031.083765021,5149.8639440448505
2020-12-15,1130014.0289399289,1126703.3061447097,1119289.3806763424,1129959.5614237096,1135049.036148172,1128203.0626665724,5194.905887225404
2020-12-16,1136304.8783103414,1132999.4850990826,1125355.697780828,1136226.201558255,1141335.7929554468,1134444.4111407907,5269.151360545383
2020-12-17,1137627.6899771355,1134298.465057087,1126633.328748891,1137541.1998598962,1142657.0281373295,1135751.5423560678,5285.10720374099
2020-12-18,1141483.8397801686,1138118.5865901215,1130466.4880372444,1141455.7080933617,1146599.8574667838,1139624.8959935359,5321.71094315916
